id,title,top_words
210679,"{climat, chang, impact}","['climat', 'chang', 'impact', 'human', 'global', 'increas', 'affect', 'futur', 'food', 'mitig']"
210681,"{malaria, transmiss, falciparum}","['malaria', 'transmiss', 'falciparum', 'plasmodium', 'vivax', 'parasit', 'rainfal', 'control', 'africa', 'elimin']"
210684,"{factor, environment, preval}","['factor', 'environment', 'preval', 'associ', 'socioeconom', 'influenc', 'studi', 'determin', 'meteorolog', 'identifi']"
210687,"{emiss, reduct, nox}","['emiss', 'reduct', 'nox', 'sourc', 'transport', 'reduc', 'polici', 'energi', 'benefit', 'sector']"
210690,"{admiss, hospit, respiratori}","['admiss', 'hospit', 'respiratori', 'pneumonia', 'associ', 'due', 'cardiovascular', 'cvd', 'daili', 'rate']"
210694,"{concentr, particl, particul}","['concentr', 'particl', 'particul', 'matter', 'site', 'mass', 'measur', 'averag', 'monitor', 'dure']"
210697,"{hfmd, mouth, foot}","['hfmd', 'mouth', 'foot', 'hand', 'china', 'diseas', 'childhood', 'meteorolog', 'factor', 'humid']"
210700,"{day, daili, associ}","['day', 'daili', 'associ', 'dure', 'period', 'number', 'increas', 'mean', 'befor', 'signific']"
210703,"{extrem, event, weather}","['extrem', 'event', 'weather', 'precipit', 'frequenc', 'drought', 'impact', 'increas', 'condit', 'dure']"
210707,"{stroke, ischem, hemorrhag}","['stroke', 'ischem', 'hemorrhag', 'subtyp', 'onset', 'associ', 'cerebrovascular', 'heart', 'interv', 'odd']"
210710,"{children, age, year}","['children', 'age', 'year', 'group', 'preval', 'among', 'old', 'older', 'child', 'school']"
210713,"{ozon, concentr, ppb}","['ozon', 'concentr', 'ppb', 'nox', 'nitrogen', 'surfac', 'dioxid', 'tropospher', 'precursor', 'groundlevel']"
210717,"{disast, prepared, natur}","['disast', 'prepared', 'natur', 'communiti', 'respons', 'manag', 'resili', 'emerg', 'respond', 'affect']"
210719,"{dust, storm, sourc}","['dust', 'storm', 'sourc', 'desert', 'event', 'aerosol', 'particul', 'asian', 'cardiovascular', 'particl']"
210723,"{death, excess, caus}","['death', 'excess', 'caus', 'estim', 'attribut', 'rate', 'prematur', 'year', 'number', 'popul']"
210726,"{exposur, associ, estim}","['exposur', 'associ', 'estim', 'ambient', 'increas', 'adjust', 'shortterm', 'studi', 'use', 'person']"
210730,"{month, rainfal, averag}","['month', 'rainfal', 'averag', 'mean', 'period', 'variabl', 'januari', 'precipit', 'trend', 'juli']"
